user0007845	D4EA-0000-0358-0653
user0007846	EC5A-0000-0334-CE52
user0007847	182D-0000-034B-4B78
user0007848	BD07-0000-034F-04BF
user0007849	8DB3-0000-033D-6235
user0007850	308D-0000-0313-AEDA
user0007851	5F43-0000-0327-7352
user0007852	47E8-0000-0303-BA01
user0007853	75FD-0000-031C-6175
user0007854	A57B-0000-0323-318E
user0007855	EC5B-0000-0352-23ED
user0007856	D4EC-0000-0316-6629
user0007857	1830-0000-033F-A1D0
user0007858	BD09-0000-0320-EAD2
user0007859	002E-0000-0355-6D76
user0007860	8DB6-0000-0335-38A7
user0007861	5F49-0000-033C-F511
user0007862	47E9-0000-0346-F59E
user0007863	A57D-0000-0331-6F2A
user0007864	75FD-0000-0369-51DC
user0007865	308D-0000-0330-24C7
user0007866	EC5C-0000-0336-F2D1
user0007867	D4F3-0000-035F-4710
user0007868	1832-0000-034F-1B5A
user0007869	8DB8-0000-0359-B2FE
user0007870	BD09-0000-0358-B2B3
user0007871	002E-0000-0357-0C03
user0007872	47EA-0000-034D-F863
user0007873	A57E-0000-0324-EDAB
user0007874	5F4B-0000-0355-E555
user0007875	EC5D-0000-0332-AA0F
user0007876	3091-0000-035B-7EFC
user0007877	7600-0000-032E-26F4
user0007878	8DB9-0000-0341-CF96
user0007879	1835-0000-0340-51F8
user0007880	D4F4-0000-0336-4B4A
user0007881	A581-0000-0346-5327
user0007882	47EA-0000-035D-8707
user0007883	EC61-0000-0350-7CC1
user0007884	002F-0000-030E-B5CE
user0007885	5F4C-0000-033E-425E
user0007886	BD1A-0000-0339-A5D3
user0007887	7600-0000-0336-EF86
user0007888	3092-0000-034B-0D53
user0007889	1837-0000-0304-0D59
user0007890	D4F6-0000-033A-E349
user0007891	8DB9-0000-035C-CC98
user0007892	A582-0000-031B-C719
user0007893	A589-0000-033B-59D5
user0007894	A589-0000-0365-BB1F
user0007895	A58B-0000-032C-4AAA
user0007896	0031-0000-0309-C4EB
user0007897	0031-0000-0330-9BA1
user0007898	0034-0000-0340-3A58
user0007899	0035-0000-0336-56E9
user0007900	0035-0000-033B-ECD5
user0007901	0035-0000-0350-74D7
user0007902	003B-0000-0365-F21D
user0007903	003C-0000-0330-7752
user0007904	003C-0000-0346-52F4
user0007905	003D-0000-030D-DDA6
user0007906	003E-0000-032B-8D0F
user0007907	0040-0000-0344-87F1
user0007908	0045-0000-031E-182B
user0007909	0046-0000-0305-6FA0
user0007910	0046-0000-0311-8CD8
user0007911	0048-0000-0369-B9A2
user0007912	004C-0000-034B-B262
user0007913	004D-0000-031A-7073
user0007914	004D-0000-0332-476C
user0007915	0051-0000-0342-EAAE
user0007916	0053-0000-031A-88D2
user0007917	0054-0000-0363-9F81
user0007918	0055-0000-0301-E276
user0007919	0056-0000-0366-66E7
user0007920	0057-0000-035D-7107
user0007921	0058-0000-0342-DE4E
user0007922	0059-0000-0327-748E
user0007923	005D-0000-0309-022A
user0007924	005D-0000-033B-D0E5
user0007925	0062-0000-0331-8A1A
user0007926	0064-0000-030D-EC1B
user0007927	0064-0000-034D-C974
user0007928	0066-0000-0307-1794
user0007929	0067-0000-0348-D066
user0007930	006D-0000-0327-C1F1
user0007931	5F4D-0000-032F-8869
user0007932	5F51-0000-0339-1BDE
user0007933	5F53-0000-0344-C09A
user0007934	183A-0000-032D-FEF4
user0007935	183F-0000-032C-CF29
user0007936	3094-0000-0313-9F23
user0007937	3094-0000-034C-43DA
user0007938	3096-0000-0339-BE57
user0007939	309B-0000-0336-B478
user0007940	47ED-0000-0348-1292
user0007941	47EE-0000-036B-C162
user0007942	47F1-0000-02FF-0177
user0007943	47F4-0000-034B-CF7E
user0007944	BD1D-0000-031C-5D04
user0007945	BD1E-0000-0355-A470
user0007946	D4FA-0000-02FF-1DEE
user0007947	D4FB-0000-033B-A9C3
user0007948	D4FC-0000-034B-3DDD
user0007949	D4FF-0000-0311-0C61
user0007950	8DB9-0000-0361-DF70
user0007951	8DB9-0000-0369-46FE
user0007952	7605-0000-0347-0E44
user0007953	7607-0000-034E-4606
user0007954	7608-0000-0344-DE13
user0007955	EC62-0000-0331-030E
user0007956	EC66-0000-0307-B98B
user0007957	183F-0000-0363-1DEA
user0007958	EC6F-0000-0303-AD10
user0007959	8DBE-0000-032E-289C
user0007960	1842-0000-0324-E537
user0007961	BD1F-0000-030A-A86D
user0007962	EC70-0000-0340-9AAB
user0007963	8DBF-0000-0306-D7DB
user0007964	A58E-0000-0320-D547
user0007965	7609-0000-0314-1BD0
user0007966	5F58-0000-0334-E3F5
user0007967	309C-0000-0358-F379
user0007968	1842-0000-0369-E5BF
user0007969	BD23-0000-0327-A262
user0007970	8DBF-0000-0341-FEB4
user0007971	D4FF-0000-033F-B478
user0007972	EC70-0000-0363-9108
user0007973	A590-0000-032D-2CE9
user0007974	5F5C-0000-0340-ADFF
user0007975	1846-0000-0338-3C70
user0007976	309D-0000-0318-01D7
user0007977	760A-0000-0349-0F44
user0007978	BD29-0000-034B-5347
user0007979	D500-0000-0365-7AC9
user0007980	8DC0-0000-0317-CF9C
user0007981	47F6-0000-0339-FAEE
user0007982	5F5D-0000-035C-7B17
user0007983	309D-0000-0363-5D75
user0007984	EC73-0000-030F-90B2
user0007985	A593-0000-032C-62A5
user0007986	1846-0000-0345-5536
user0007987	BD29-0000-035C-74B4
user0007988	8DC3-0000-0331-824E
user0007989	47FA-0000-0342-AA11
user0007990	A594-0000-0333-134E
user0007991	A594-0000-0368-2211
user0007992	A595-0000-033D-704F
user0007993	A595-0000-0358-AA71
user0007994	A596-0000-0304-498E
user0007995	A596-0000-0359-4A57
user0007996	A597-0000-0320-17C6
user0007997	D502-0000-0324-3BF9
user0007998	D509-0000-030C-CEF3
user0007999	D50A-0000-0305-E8A3
user0008000	D50A-0000-032E-DFDF
user0008001	D50D-0000-0339-6C7D
user0008002	D50E-0000-0322-1D92
user0008003	D50E-0000-0338-BAD3
user0008004	D50F-0000-0315-B6B9
user0008005	5F5E-0000-0311-FD53
user0008006	5F60-0000-030B-7ECF
user0008007	5F61-0000-033A-5056
user0008008	5F62-0000-031B-2CE3
user0008009	5F63-0000-033E-0D3A
user0008010	5F64-0000-032C-4FCB
user0008011	5F65-0000-035D-4DB0
user0008012	1847-0000-030E-0101
user0008013	1847-0000-0326-27A4
user0008014	1848-0000-0361-124E
user0008015	184E-0000-033D-AA22
user0008016	184E-0000-0341-6253
user0008017	760A-0000-035E-75DA
user0008018	760B-0000-035B-B292
user0008019	760C-0000-0331-6E07
user0008020	760C-0000-0356-A863
user0008021	760E-0000-034F-0113
user0008022	7612-0000-0312-EA64
user0008023	7612-0000-0331-88BE
user0008024	7614-0000-030A-77CF
user0008025	EC74-0000-032E-D716
user0008026	EC7A-0000-0302-94C4
user0008027	EC7A-0000-0353-5B30
user0008028	EC7C-0000-033E-FBAA
user0008029	EC7C-0000-035A-AD39
user0008030	30A3-0000-0310-1AD7
user0008031	30A4-0000-034B-3D63
user0008032	30A5-0000-030E-E144
user0008033	30A5-0000-0335-316B
user0008034	30A6-0000-030F-BDC1
user0008035	30A7-0000-0334-A13C
user0008036	30A7-0000-033E-93D9
user0008037	47FA-0000-0350-3CD7
user0008038	47FB-0000-0310-72FC
user0008039	47FB-0000-0325-A4C6
user0008040	47FD-0000-0331-805D
user0008041	47FE-0000-0340-E86F
user0008042	47FE-0000-034C-FB15
user0008043	47FE-0000-0357-0D93
user0008044	8DCB-0000-034C-9C05
user0008045	8DCD-0000-0356-F988
user0008046	8DCE-0000-0324-E008
user0008047	8DD2-0000-0326-0F27
user0008048	8DD3-0000-02FF-D633
user0008049	BD2B-0000-0309-C656
user0008050	BD2B-0000-032E-BDDB
user0008051	BD2B-0000-033F-8265
user0008052	BD2D-0000-030C-EC9E
